AUC,BalancedAcc,Accuracy,Precision,Recall,Specificity,F1,Kappa,N,fold,seed,mode
0.8754068716094033,0.7644665461121157,0.7718120805369127,0.8333333333333334,0.6428571428571429,0.8860759493670886,0.7258064516129032,0.5359105899596921,149,0,42,gt
0.8500244259892527,0.7227650219833903,0.7303921568627451,0.75,0.782608695652174,0.6629213483146067,0.7659574468085106,0.44837758112094395,204,1,42,gt
0.8833472647905638,0.7746818983932386,0.7692307692307693,0.7094017094017094,0.8556701030927835,0.6936936936936937,0.7757009345794392,0.5423122765196663,208,2,42,gt
0.7997957099080695,0.7453396322778345,0.7457627118644068,0.7866666666666666,0.6704545454545454,0.8202247191011236,0.7239263803680982,0.49108683151236343,177,3,42,gt
0.854831560283688,0.7335992907801419,0.7315789473684211,0.6641221374045801,0.925531914893617,0.5416666666666666,0.7733333333333333,0.4652908067542214,190,4,42,gt
0.8354430379746836,0.7707956600361664,0.7785234899328859,0.8490566037735849,0.6428571428571429,0.8987341772151899,0.7317073170731707,0.5491885944806087,149,0,43,gt
0.821494870542257,0.7341963849535906,0.7303921568627451,0.7941176470588235,0.7043478260869566,0.7640449438202247,0.7465437788018433,0.4607843137254902,204,1,43,gt
0.908888269713012,0.8590136528280858,0.8557692307692307,0.8073394495412844,0.9072164948453608,0.8108108108108109,0.8543689320388349,0.712468896875864,208,2,43,gt
0.826608784473953,0.7909856996935649,0.7909604519774012,0.7865168539325843,0.7954545454545454,0.7865168539325843,0.7909604519774012,0.5819342483242899,177,3,43,gt
0.8236923758865249,0.71697695035461,0.7157894736842105,0.6724137931034483,0.8297872340425532,0.6041666666666666,0.7428571428571429,0.43289851868229046,190,4,43,gt
0.8622061482820977,0.7677215189873418,0.7718120805369127,0.7903225806451613,0.7,0.8354430379746836,0.7424242424242424,0.5389515835456862,149,0,44,gt
0.8250122129946262,0.7483146067415731,0.7549019607843137,0.773109243697479,0.8,0.6966292134831461,0.7863247863247863,0.4991652754590985,204,1,44,gt
0.8505619021082937,0.761168384879725,0.7548076923076923,0.6916666666666667,0.8556701030927835,0.6666666666666666,0.7649769585253456,0.5146412884333821,208,2,44,gt
0.8472931562819203,0.8249489274770174,0.8248587570621468,0.8131868131868132,0.8409090909090909,0.8089887640449438,0.8268156424581006,0.6497734090764027,177,3,44,gt
0.8503989361702128,0.7795877659574468,0.7789473684210526,0.7452830188679245,0.8404255319148937,0.71875,0.79,0.5584329349269588,190,4,44,gt
0.8596745027124774,0.7946654611211573,0.7986577181208053,0.8225806451612904,0.7285714285714285,0.8607594936708861,0.7727272727272727,0.5931925737167819,149,0,45,gt
